Game,Number,As of,Business model,Release date,Publisher(s),Ref.
The Elder Scrolls Online,13.5 million registered accounts,December 2017,Pay-to-play,"April 4, 2014",Bethesda Softworks,[71]
Dota 2,13 million peak monthly players,September 2016,Free-to-play,"July 9, 2013",Valve,[72]
Call of Duty: Ghosts,12.6 million[m],December 2018,Pay-to-play,"November 5, 2013",Activision,[57]
FIFA 19,12.5 million[m],December 2018,Pay-to-play,"September 28, 2018",EA Sports,[57]
Guild Wars 2,11 million,September 2018,Free-to-play,"August 28, 2012",NCSoft,[73]
Forza Horizon 3,10 million,September 2018,Pay-to-play,"September 27, 2016",Microsoft Studios,[74]
Star Wars: The Old Republic,10 million registered accounts,April 2018,Subscription,"December 20, 2011",Electronic Arts,[30]
Free Realms,10 million registered accounts,April 2018,Free-to-play,"April 28, 2009",Sony Online Entertainment,[30]
H1Z1,10 million,June 2018,Free-to-play,"February 28, 2018",Daybreak Game Company,[75]
Robocraft,10 million owners on Steam[k],July 2018,Free-to-play,"August 24, 2017",Freejam Games,[2]
Ark: Survival Evolved,10 million[a],November 2017,Pay-to-play,"August 29, 2017",Studio Wildcard,[76]
Star Wars Jedi: Fallen Order,10 million,May 2020,Pay-to-play,"November 15, 2019",Electronic Arts,[77]
